,case_id,submitter_id,MKI67_tpm_unst,ERBB2_tpm_unst,ESR1_tpm_unst,PGR_tpm_unst
0,b1d44c81-747d-471f-9093-aeb262a17975,TCGA-Z7-A8R6,47.0897,93.102,92.8495,30.0026
1,b205bba0-1870-4458-9088-8817e20389fe,TCGA-A8-A09A,22.3349,313.412,150.6734,4.9972
2,b205c89f-af62-4186-acad-ed23d243fa98,TCGA-A2-A0YL,31.4504,92.8852,75.2462,131.5927
3,b26d41cd-393b-4cd4-8925-a9488f7de576,TCGA-C8-A1HE,22.687,203.5855,949.1958,3.9104
4,b2aac45b-2073-4c7a-adb9-769a4fdcc111,TCGA-E9-A1NH,7.7682,158.8444,259.1985,6.8365
5,b2ecbc0f-2c30-4200-8d5e-7b95424bcadb,TCGA-A7-A26I,55.2247,34.4533,1.1196,0.4298
6,b304302a-f2b9-4cd7-ab14-c21edf7778ea,TCGA-E9-A5FK,3.4505,77.7698,57.2383,20.3396
7,b3264748-947a-43aa-b227-b294fbcc8447,TCGA-BH-A203,30.337,58.6912,4.3941,0.4237
8,b343bfe0-7c23-4c6a-8c84-9ee39db2ecda,TCGA-GM-A2DD,12.0663,78.9268,0.7639,0.2414
9,b35fbe19-0e6d-427e-b9be-ee3527b5fca6,TCGA-E9-A2JT,29.0056,29.6131,67.1384,1.2218
10,b43e41af-1d82-4b5f-b8f1-add0510e6b86,TCGA-A8-A07B,44.5828,622.458,86.6311,11.3696
11,b58ad350-5140-4fa8-bc2c-24bca8395f3a,TCGA-A2-A04T,77.4553,74.48,0.3771,0.1709
12,b63391a0-73f8-4544-9e94-f6529245ca2a,TCGA-E2-A1IL,14.691,224.7853,315.1904,15.1667
13,b6633c36-7ce4-4b69-9bf6-30b64d46c66f,TCGA-A8-A07C,165.4733,74.3185,0.4402,0.2008
14,b6b1dc9a-91f4-4b0a-afd5-62c9a90c0d5e,TCGA-AC-A2FM,23.4057,466.4172,443.6487,6.5297
15,f30eb65f-fb44-4062-ac39-a38d072f655f,TCGA-B6-A1KF,42.0808,600.9341,6.4191,0.1307
16,f31c21b6-0f7f-435b-9e24-97c909755c36,TCGA-BH-A0HQ,14.3787,258.7349,221.4392,52.5121
17,f357fe19-5359-4662-8ce9-aa996132283b,TCGA-AO-A0JF,11.2373,144.4572,158.7186,33.9988
18,f3a058b9-fb7f-4098-8f0e-83c2acfa1ed5,TCGA-A2-A04R,50.4227,124.9159,133.0667,58.6095
19,f3b86c02-09a5-4e97-aa7a-86f13f7cda4b,TCGA-EW-A1PE,25.0513,129.4174,429.9286,34.4239
20,887b9e5b-99db-44ac-9c30-c0dc6877b41c,TCGA-D8-A1XW,19.1838,73.0747,1.1642,0.4218
21,88cd6ccc-70f7-436e-a99c-039b9d31e335,TCGA-AN-A03X,12.4253,131.5711,176.6453,44.0586
22,88db1340-e4bf-451a-87c0-6e9168296f5e,TCGA-EW-A1PB,36.0748,54.9921,1.035,0.0186
23,89128dba-403f-4a96-bb3b-23ed0d5e2147,TCGA-E2-A1AZ,134.7676,90.8141,2.4568,1.6325
24,89414e79-7f89-42d9-8228-101b5bf2f31f,TCGA-C8-A26V,23.9886,52.3943,170.9329,56.1199
25,a9b7d7fe-be31-4f71-afee-c1bfdf511888,TCGA-AO-A0J4,68.1002,67.9253,0.527,0.3012
26,aa4244a8-0454-4247-a1c3-357fd51746fa,TCGA-D8-A1JL,57.8368,53.2025,3.1416,0.6522
27,aaea5f9c-b35b-47f8-93cb-bdc7b81844ff,TCGA-A2-A25A,21.302,58.3282,48.1743,95.2917
28,ab89bb2e-da84-4116-a8cd-49aad7bbfd4d,TCGA-AR-A0TP,75.5549,48.2096,0.1304,0.1096
29,aba5f46a-e67a-4cd2-9c52-c0686968ff04,TCGA-EW-A6SA,44.5815,114.2089,389.9306,0.157
30,f45aa0b2-f3de-4db5-9730-e5c6c4e2ed3a,TCGA-EW-A2FV,58.7214,94.4231,56.5761,15.1988
31,f4b69043-4a67-48e3-a4d1-72a21ae2d175,TCGA-A8-A090,46.9442,270.0947,453.6189,103.9068
32,f130f376-5801-40f9-975d-a7e2f7b5670d,TCGA-A7-A0DB,12.661,31.0616,551.3101,265.2612
33,f251cb6c-d18e-4691-9c82-24ed1ac0abf9,TCGA-BH-A0BP,11.427,53.1597,166.9589,1.716
34,17f275c1-a0d4-487d-8f02-ea279584b4cd,TCGA-D8-A13Y,,,,
35,c2b104ee-f914-4e79-9e1b-56bf88157472,TCGA-E2-A14S,,,,
36,f2bbfa9d-9a9d-4f46-9fde-378e4c44e2ad,TCGA-BH-A0DK,28.2395,36.6409,54.5209,21.6761
37,7f97971b-2818-4e4b-9c9e-7c0246f9484c,TCGA-D8-A27K,12.649,234.1149,151.3597,70.926
38,a6edb6ca-ae9f-4da7-8ebe-92d83d2987fb,TCGA-E2-A158,2.0084,32.6123,14.6422,9.7102
39,197428f7-bd77-4c5f-8119-87157b5c35b9,TCGA-A2-A04N,9.8508,103.7304,197.6294,205.3364
40,5258294f-ef5b-4091-9183-6bcc545d54b2,TCGA-BH-A209,3.6607,54.514,34.3168,16.1121
41,a78b04b4-2380-4803-963e-e4e633cd69ab,TCGA-A2-A3XS,24.7056,97.3572,0.3634,0.2487
42,1a679332-30a3-4495-a2e5-39d299e14333,TCGA-S3-A6ZG,40.8972,155.4488,253.7078,99.8996
43,9f6be944-83de-42ab-8738-f0022f475e61,TCGA-GI-A2C9,2.3966,68.2719,41.1837,10.4996
44,2476dda9-da2a-4242-9642-b92b8b9b1c79,TCGA-B6-A0IH,,,,
45,4e3699da-4367-4a43-9d66-a117d3ad460d,TCGA-AN-A0XN,19.7757,46.063,47.0437,306.8203
46,3828b534-908e-4953-a3fb-07d01cf49c7d,TCGA-A8-A09B,,,,
47,a991644b-3ee6-4cda-acf0-e37de48a49fc,TCGA-AN-A03Y,20.5719,67.0161,187.8909,88.9405
48,90ff48c3-b14b-4a8b-94a1-98c0bab0d27b,TCGA-W8-A86G,2.9057,168.2576,165.1859,35.7625
49,a1093598-d3a8-4ffe-83fc-bc7d1faff7e5,TCGA-BH-A1EU,16.4449,56.2888,448.6612,218.312
50,a12fd22a-7f84-4b6e-b6d8-012e38eb73d7,TCGA-AR-A1AW,47.2897,64.8116,80.5605,21.7317
51,9d876f05-5080-4c4e-9bf5-45f631d381e5,TCGA-A8-A081,,,,
52,d13fb44b-291b-4ea4-920c-142daa8d1989,TCGA-AC-A5EH,18.4514,129.4031,7.7597,0.4016
53,64d4dfae-8d91-464b-adc3-80ba7caf54ae,TCGA-E9-A22E,10.0342,26.1079,102.3973,2.6658
54,afb9418e-91eb-4db1-aacf-12bd946c9ba0,TCGA-A8-A083,,,,
55,659b0170-e914-45ff-aa55-fcb8d3dc7b8a,TCGA-E9-A1NG,1.6351,29.122,25.8497,13.4847
56,4d26dada-5eb7-4d4e-8eb8-f5465c5c3428,TCGA-AR-A1AT,41.4945,3537.5456,22.1339,0.9745
57,0ed9ad26-7fdc-4d75-93f9-d029eee94993,TCGA-A1-A0SG,12.383,197.6731,239.981,196.5419
58,546248b0-22a0-4b70-a437-76fb0a238a0d,TCGA-AN-A0FJ,101.3356,57.3464,0.3379,0.1578
59,c49e3b18-fd88-48f4-8b01-300692ceb367,TCGA-C8-A131,24.1882,48.1679,0.7617,0.3067
60,5562455d-bbb8-46eb-a510-e8c6e1e26789,TCGA-B6-A0RL,,,,
61,5580b21a-2cdb-4777-ad79-6e06654144f5,TCGA-E2-A15H,41.0094,1183.2123,70.6377,14.6819
62,56203436-8634-4fd0-96b5-ba6be9d87857,TCGA-D8-A1JK,21.9794,68.2292,1.2859,2.4165
63,c07b122e-ac50-4db2-add2-5617a5d0e976,TCGA-GM-A2DA,12.74,392.6765,22.0534,8.2486
64,8cf54607-01ce-42b0-9bd9-8627edd9f3b7,TCGA-C8-A130,,,,
65,8d5fe6e8-d2cc-481f-a6a1-9cb6e7982cde,TCGA-A2-A0EW,11.484,141.1141,135.0679,31.9218
66,3a0775a0-61ae-43f2-b5f6-629a44355c2f,TCGA-GM-A2DK,,,,
67,c25898b4-eb33-42f4-bf3f-bf532a929e7d,TCGA-AO-A1KO,2.3597,41.8329,31.2598,27.4179
68,c2a742fe-3e8b-4210-85a6-7191a1123609,TCGA-AN-A0FN,11.9451,61.3134,78.612,4.3632
69,d2f2560c-ec80-4fea-9474-c47a2e85ea95,TCGA-AO-A0J2,68.681,132.3943,1.44,0.101
70,c348a9b3-c901-4384-a222-144387bac0c5,TCGA-BH-A1FU,54.2489,2201.6359,2.9071,8.9592
